x;y;datetime;smd50upveg;distroad;elevation;day
697881,9051;7225631,816;2010-08-01 11:05;Coni;1375,681641;269;1
697883,8912;7225637,35;2010-08-01 11:07;Coni;1375,681641;263;1
697886,8617;7225637,549;2010-08-01 11:09;Coni;1375,681641;281;1
697885,8697;7225640,649;2010-08-01 11:11;Coni;1375,681641;257;1
697887,3452;7225630,317;2010-08-01 11:13;Coni;1375,681641;270;1
697882,047;7225639,089;2010-08-01 11:15;Coni;1375,681641;288;1
697975,5419;7225570,279;2010-08-01 11:17;Coni;1312,44043;216;1
698200,3369;7225726,869;2010-08-01 11:19;Coni;1123,610229;265;1
698189,0623;7225728,722;2010-08-01 11:21;Coni;1123,610229;251;1
698145,5564;7225792,117;2010-08-01 11:23;Coni;1188,48645;283;1
698151,9521;7225788,075;2010-08-01 11:25;Coni;1188,48645;263;1
698144,6509;7225793,919;2010-08-01 11:27;Coni;1188,48645;261;1
698151,5897;7225788,796;2010-08-01 11:29;Coni;1188,48645;265;1
698151,7414;7225779,493;2010-08-01 11:31;Coni;1188,48645;244;1
698149,8874;7225786,074;2010-08-01 11:33;Coni;1188,48645;254;1
698157,2681;7225788,431;2010-08-01 11:35;Coni;1188,48645;252;1
698150,9047;7225794,337;2010-08-01 11:37;Coni;1188,48645;272;1
698148,0111;7225785,949;2010-08-01 11:39;Coni;1188,48645;262;1
698147,2119;7225788,503;2010-08-01 11:41;Coni;1188,48645;269;1
698154,3396;7225785,255;2010-08-01 11:43;Coni;1188,48645;257;1
698151,3405;7225784,309;2010-08-01 11:45;Coni;1188,48645;251;1
698148,7782;7225793,264;2010-08-01 11:47;Coni;1188,48645;247;1
698151,0425;7225788,759;2010-08-01 11:49;Coni;1188,48645;268;1
698157,1762;7225792,15;2010-08-01 11:51;Coni;1188,48645;257;1
698151,3095;7225778,905;2010-08-01 11:53;Coni;1188,48645;251;1
698144,6736;7225777,158;2010-08-01 11:55;Coni;1188,48645;228;1
698150,9873;7225771,993;2010-08-01 11:57;Coni;1188,48645;217;1
698142,8667;7225778,341;2010-08-01 11:59;Coni;1188,48645;243;1
698156,5955;7225793,787;2010-08-01 12:01;Coni;1188,48645;259;1
698149,1663;7225788,633;2010-08-01 12:03;Coni;1188,48645;267;1
698154,2793;7225770,909;2010-08-01 12:05;Coni;1188,48645;224;1
698145,5197;7225780,939;2010-08-01 12:07;Coni;1188,48645;239;1
698151,2908;7225785,051;2010-08-01 12:09;Coni;1188,48645;257;1
698158,206;7225788,493;2010-08-01 12:11;Coni;1188,48645;264;1
698155,4088;7225797,432;2010-08-01 12:13;Coni;1188,48645;288;1
698146,361;7225775,408;2010-08-01 12:15;Coni;1188,48645;240;1
698154,8409;7225787,151;2010-08-01 12:17;Coni;1188,48645;255;1
698145,6388;7225769,772;2010-08-01 12:19;Clear;1170,469971;237;1
698152,5301;7225793,515;2010-08-01 12:21;Coni;1188,48645;281;1
698145,8968;7225784,69;2010-08-01 12:23;Coni;1188,48645;252;1
698151,0241;7225783,17;2010-08-01 12:25;Coni;1188,48645;253;1
698150,4357;7225794,306;2010-08-01 12:27;Coni;1188,48645;265;1
698152,0796;7225799,072;2010-08-01 12:29;Coni;1188,48645;282;1
698152,7363;7225804,518;2010-08-01 12:31;Coni;1188,48645;265;1
698152,4547;7225798,166;2010-08-01 12:33;Coni;1188,48645;260;1
698151,8603;7225791,794;2010-08-01 12:35;Coni;1188,48645;264;1
698154,3073;7225783,39;2010-08-01 12:37;Coni;1188,48645;257;1
698145,6983;7225787,656;2010-08-01 12:39;Coni;1188,48645;251;1
698151,9622;7225783,233;2010-08-01 12:41;Coni;1188,48645;247;1
